,review,category,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
205,"The coffe is very good, too.",DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
206,Great open and friendly ambience.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
207,This place is charming and relaxing.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
208,The servers behind the counter are always friendly and helpful.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
209,It's a great place to enjoy food and meet friends.,FOOD#QUALITY*RESTAURANT#MISCELLANEOUS,0,0,0,0,0,1,0,0,0,1,0,0
210,Old Reliable,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
211,– After 12 years in Seattle Ray's rates as the place we always go back to.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
212,"Great food, spectacular location, and friendly service keep us coming back year after year.",FOOD#QUALITY*LOCATION#GENERAL*SERVICE#GENERAL,0,0,0,0,0,1,0,1,0,0,0,1
213,Enjoyed the food,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
214,I liked it.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
215,Food was good and cheap.,FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
216,I had the kafta plate and I enjoyed it.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
217,"It was so much though that I could barely finish but I did, since it was delicious.",FOOD#STYLE_OPTIONS*FOOD#QUALITY,0,0,0,0,0,1,1,0,0,0,0,0
218,Atmosphere was nice.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
219,"Service was kind of slow, our waitress took forever to give us our check even though it wasn't that busy.",SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
220,Still I would recommend this place.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
221,WOW!!!!!!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
222,– IT CANT GET ANY BETTER!!!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
223,WHAT ELSE CAN YOU SAY NICE PEOPLE AMAZING FOOD WOW,FOOD#QUALITY*SERVICE#GENERAL*RESTAURANT#GENERAL,0,0,0,0,0,1,0,0,1,0,0,1
224,Great food with an awesome atmosphere!,FOOD#QUALITY*AMBIENCE#GENERAL,1,0,0,0,0,1,0,0,0,0,0,0
225,"– Eggs, pancakes, potatoes, fresh fruit and yogurt -- everything they serve is delicious.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
226,"The best place for a leisure Sunday breakfast amidst yachts, then take a stroll through the nearby Farmer's Market.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
227,great meal – the fish on the omikase platter was absolutely decadent -- there was none of the stringiness that sometimes accompanies fair sushi -- this fish was perfect!!!!,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
228,"plus, i am allergic to rice, and the waitstaff was unbelievably accomodating -- didn't even bat an eye!",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
229,and the waiter suggested a perfect sake!!,SERVICE#GENERAL*DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,1
230,absolutely fabulous!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
231,Unbeatable sushi!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
232,Two thumbs up!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
233,This is right up there with places in Tokyo as far as the freshness is concerned.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
234,"Melt in your mouth nigiri and sashmi, and very tasty rolls too.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
235,Be sure to try the oyster roll.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
236,splendid,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
237,"– How to describe the best sushi in NYC: hmmmm, delicious, amazing, fantastic, suculent, perfect, nah, all of the above.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
238,"I can't saybenough good things about this restaurant, and I can't wait for my next several visits.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
239,The best Chuwam Mushi I have ever had.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
240,Perfect on a cold day.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
241,$6 with tip.,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
242,Perfection.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
243,"Good Sushi, High Price ",FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
244,One of the best Sushi place in town.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
245,The house special roll is really good.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
246,"On weekends, you might have to wait for couple hours.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
247,"However, they do take your cellphone numbers so that you can go hang out somewhere else till they call you up on your cellphone.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
248,A cozy spot for 2,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
249,"– I can't believe Murphy's has been around for over 25 years, amazing.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
250,"That's a huge compliment, especially in the fickled restaurant business, ...enough already!",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
251,"Brunch at Murphy's is to die for, my specialty... egg white omelet, the food is always freshly prepared.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
252,It's the perfect spot for a romantic date for 2 or a secret rendezvous!,RESTAURANT#MISCELLANEOUS*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,1,0,0
253,Save room for  scrumptious desserts.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
254,The restaurant offers an extensive wine list and an ambiance you won't forget!,DRINKS#STYLE_OPTIONS*AMBIENCE#GENERAL,1,0,0,1,0,0,0,0,0,0,0,0
255,"I guarantee you won't be disappointed, there's also valet parking.",RESTAURANT#GENERAL*RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,1,1,0,0
256,Addicting!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
257,– Best Mexican place for lunch in the financial district.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
258,Love the enchiladas and chicken soup - and be sure to check out their specials.,FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
259,The cooks have been at the restaurant for years and cook family recipes.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
260,"Can get busy on Fridays for a table but once seated, the service is so efficient you can be in and out of there quickly.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
261,I went there with a friend from out of town... and we were both very impressed!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
262,The sushi was excellent and the wait staff was quick.,FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
263,The price was right too.,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
264,The atmosphere was just okay.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
265,"Space was limited, but the food made up for it.",RESTAURANT#MISCELLANEOUS*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,1,0,0
266,I'd go back there in a heartbeat.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
267,Well I guess it's hard to be seated when one is invisible to the staff.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
268,We stood there for 10 minutes while employees walked back and forth ignoring us.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
269,"Finally, my wife stood face to face in front of one of the staff and she asked, ""Are you waiting for a table?""",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
270,Once seated it took about 30 minutes to finally get the meal.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
271,The prior reviews said Kid friendly... give me a break with two young children that is light years.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
272,The Caesar salad I ordered had so much lemon I couldn't eat it.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
273,It was decent but nothing exceptional.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
274,"Great food, better Margaritas!",FOOD#QUALITY*DRINKS#QUALITY,0,0,1,0,0,1,0,0,0,0,0,0
275,"– This is one of my top lunch spots, huge portions, fast service and amazing margaritas!!",RESTAURANT#GENERAL*FOOD#STYLE_OPTIONS*SERVICE#GENERAL*DRINKS#QUALITY,0,0,1,0,0,0,1,0,1,0,0,1
276,"it gets really busy, so get there on the early side so you can grab a seat, if you do have to wait, its not bad because the service is quick!",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
277,"Check out the art on the walls, very colorful!",AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
278,i love this place!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
279,– i have been eating at this place for over 8 years now and i have never had one bad meal.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
280,i highly recommend this place to all that want to try indain food for the first time.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
281,The lunch menu is an awesome deal!,FOOD#PRICES,0,0,0,0,1,0,0,0,0,0,0,0
282,"plenty of food,trust me .",FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
283,Fresh ingrediants and super tasty.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
284,The place is the next best thing to my Moms cooking.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
285,"Best food, phenominal service ",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
286,"For the finicky sushi eater and those who have sampled the best NYC has to offer, the fish is the freshest and the service is superb.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
287,"Not only can the selection be innovative, but there's a nice balance of traditional sushi as well.",FOOD#STYLE_OPTIONS*FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
288,The nicest waiters in town.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
289,WAY OVER-RATED!!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
290,– This place is unbelievably over-rated.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
291,"If I want to stand in line on Sunday for an hour to get average brunch food, then I would put Murphy's at the top of the list.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
292,The regular menu here is slightly above average that is not worth the snotty attitude that you receive.,FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
293,10!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
294,"Your a sushi fan, you love expertly cut fish, great sake, a killer SOHO location, and of course: Salmon, Tuna, Fluke, Yellow Tail, Cod, Mackeral, Jellyfish, Sea Urchin, Shrimp, Lobster, Sea Bream, Trout, Milk Fish, Blue Fin Tuna, Eel, Crab, Sardine, Monk Fish, Roe, Scallop, Oysters, and a varity of Toro.",FOOD#QUALITY*FOOD#STYLE_OPTIONS*DRINKS#QUALITY*LOCATION#GENERAL*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,1,0,0,1,1,1,0,0,0,0
295,"There is only one place on the east coast that has it all, plus a lot more.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
296,Bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world: BLUE RIBBON SUSHI.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
297,Cut to the chase - this is amazing!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
298,It's unpretentious and underground.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
299,"It's fresh, welcoming, delicious, and relaxing.",FOOD#QUALITY*AMBIENCE#GENERAL,1,0,0,0,0,1,0,0,0,0,0,0
300,"Hands down, the best tuna I have ever had.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
301,Blue Ribbon lives up to it's fantastic reputation.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
302,I went here on a recommendation and will surely return time and time again.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
303,What a find!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
304,Well worth it ,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
305,Great value sushi with high quality & nice setting.,FOOD#PRICES*FOOD#QUALITY*AMBIENCE#GENERAL,1,0,0,0,1,1,0,0,0,0,0,0
306,Good for late night dining (last minute planning) without reservations.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
307,Try the Chef's Choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty.,FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
308,Poor customer service/poor pizza.,SERVICE#GENERAL*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,1
309,"– As with most restaurants in Seattle, Mioposto's service was bad and the food was overpriced.",SERVICE#GENERAL*FOOD#PRICES,0,0,0,0,1,0,0,0,0,0,0,1
310,"I know many people have their favorite types of pizza and pizza places, but Mioposto's pizza lacks quality and good taste.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
311,"To be honest, I've had better frozen pizza.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
312,The only positive thing about Mioposto is the nice location.,LOCATION#GENERAL*RESTAURANT#GENERAL,0,0,0,0,0,0,0,1,1,0,0,0
313,Love it every time ,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
314,"I was frankly shocked when I read the bad reviews - this place is fantastic; it has not let us down in any way, and we've eaten here more than 10 times.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
315,"The food is fantastic, and the waiting staff has been perfect every single time we've been there.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
316,"The only problem would be the wait, but we usually just have a drink in the front while waiting.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
317,Never had one single problem there.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
318,Seafood Plus,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
319,– This was  great dining experience.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
320,"If you're going to see Danny Gans or just staying at the Mirage, don't miss this one.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
321,"The appetizer of oysters, lobster, crab (small size) made a perfect entre for my wife.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
322,Seabass on lobster risotto was the best.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
323,Caesar salad was superb.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
324,Great bottle of wine.,DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
325,Leave room for dessert.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
326,COMPLETELY OVER RATED!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
327,"The food was ok, but the service was so poor that the food was cold buy the time everyone in my party was served.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
328,"Even then, the order was not correct and we were still waiting for a couple items.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
329,We had a very hard time getting the waitress' attention and finally had to get up and go inside to speak to a manager.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
330,As it turns out the owner was seated right next to us and when he came over to check on our problems was very dismissive and offered a token 20% discount on our bill.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
331,"When the bill came, he only took the discount off the food and not the drinks.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
332,It was clear he didn’t really care.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
333,AVOID THE PLACE,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
334,– Save yourself the waste of time & DO NOT visit.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
335,When I got there I sat up stairs where the atmosphere was cozy & the service was horrible!,AMBIENCE#GENERAL*SERVICE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
336,I waited for 10-15 minutes for service ordered a beer & was never served again.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
337,After sitting there with my empty glass for over 20 minutes I left.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
338,I went home & looked them up online again where I discovered there is a link for a give away that doesn't work so emailed the restaurant about the non existent service & deceptive link.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
339,I never heard back from anyone more than a month ago.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
340,After sitting at the bar for over 20 minutes the bar keep had made only 2 drinks & kept telling us she'd be right with us.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
341,We left without ever getting service.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
342,As of writing this I just tried their give away a link again & it still doesn't work.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
343,Best Crab Cakes in Town,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
344,– Thats a big statement considering I've been pulling crab traps and making the cakes myself since I was about seven - but something about these little devils gets better every time.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
345,"If you can, come to this place by boat and make it a whole evening.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
346,"Great seasonal fish and seafood, with a classy waterfront setting.",FOOD#QUALITY*FOOD#QUALITY*AMBIENCE#GENERAL,1,0,0,0,0,1,0,0,0,0,0,0
347,Always a winner.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
348,"Great Pizza, Poor Service",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
349,"– Love their pizza, especially the mushroom pizza.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
350,Also love their caeser salad.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
351,"Prefer to order it and pick it up though because I don't like the servers, one young woman in particular.",SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
352,She doesn't make you feel welcome and treats you like an annoyance.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
353,"But she is very friendly with certain people, making it even more annoying.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
354,Management should really take notice and train their waitstaff and teach them some proper manners.,SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
355,"Many people talk about the great pizza and poor service, so it can't just be the rantings of a few dissatisfied customers.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
356,It's a great little place with tons of potential to be a neighborhood joint if the service weren't so impersonal and corporate-like.,RESTAURANT#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,1,0,0,1
357,Great Breakfast,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
358,– This place is famous for their breakfast.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
359,They have been featured on the food network and they deserve it.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
360,The food is great and they make a mean bloody mary.,FOOD#QUALITY*DRINKS#QUALITY,0,0,1,0,0,1,0,0,0,0,0,0
361,I love breakfast here.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
362,Their crab eggs benedict is addicting.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
363,"All their menu items are a hit, and they serve mimosas.",FOOD#QUALITY*DRINKS#STYLE_OPTIONS,0,0,0,1,0,1,0,0,0,0,0,0
364,Doesn't get any better than that.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
365,best chinese food i have tasted in a long time,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
366,You can easily hear him though so it was a pleasant sound and not overbearing.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
367,the ambiance of the restaurant was nice and good for fine dinning.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
368,not too fine thought that you feel uncomfortable and have to dress up.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
369,the staff was very nice and courteous and obviously chinese.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
370,"First off, the food came fast and all together :) i like that... i hate the pretentiousness of things coming in one after the other.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
371,"so about the prawns, they were fresh and had a slight crispiness about the batter... soooo good... the walnuts were cut in smaller pieces and very crunchy and tasty.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
372,yummy.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
373,best honey walnyt prawns that we have every tasted.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
374,the brocollis were so fresh and tasty.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
375,"i would normally not finish the brocolli when i order these kinds of food but for the first time, every piece was as eventful as the first one... the scallops and prawns was so fresh and nicely cooked.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
376,not chewy at all.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
377,for desert we had the mango ginger creme brulee... oh la la yummy!!!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
378,melt in your mouth.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
379,we are for sure coming back to this restaurant.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
380,"it is sad there is not many people who frequent eating at places like these that look pricey because they are at the hotel... but they are definitely one you dont want to miss, esp if your in downtown san jose.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
381,Chintzy portions,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
382,"– The sushi here is perfectly good, but for $5 a piece, either the slices of fish should be larger, or there should be no pretense that this is a moderately priced restaurant (even for NYC).",FOOD#QUALITY*RESTAURANT#PRICES*FOOD#STYLE_OPTIONS*FOOD#PRICES,0,0,0,0,1,1,1,0,0,0,1,0
383,We easily spent more than $40 per person (not including alcohol) and were still hungry.,RESTAURANT#PRICES*FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,1,0
384,I'm astonished that this restaurant is categorized as $$$ rather than $$$$.,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
385,"Terrible service, food ok, pricey",SERVICE#GENERAL*FOOD#QUALITY*RESTAURANT#PRICES,0,0,0,0,0,1,0,0,0,0,1,1
386,We put out name down and although there were open tables we were told that it'd be a 30 minute wait.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
387,"We went back to the restaurant and low and behold, we were seated at one of the tables that was available 30 minutes ago!!",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
388,None that I can think of.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
389,"We put in our order and although we ordered 4 appetizers, the food didn't arrive until 45 minutes later...WITH OUR MAIN COURSE.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
390,Um so now what are appetizers for???,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
391,Oh I forgot to mention that they don't have bread service.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
392,"My wife also ordered a teapot of hot water (she had a sore throat) and I guess that since it was only water, it wasn't a priority for them to actually bring it.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
393,"In other words, if they aren't making $$ off of you then you don't rate high on their 'service scale'.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
394,"Food wise, its ok but a bit pricey for what you get considering the restaurant isn't a fancy place.",FOOD#QUALITY*RESTAURANT#PRICES*AMBIENCE#GENERAL,1,0,0,0,0,1,0,0,0,0,1,0
395,If I needed to name some they would include the location to the beach or Golden Gate park.,LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,0,0
396,Its great if you spent the day there and didn't want to drive to eat.,LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,0,0
397,"Parking is reasonably good, they have their own lot and you can park in the park nearby.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
398,Another plus is the open feel of the restaurant with glass walls on all sides.,AMBIENCE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
399,Always good.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
400,6pm on a Sat before a Broadway play and we were quickly seated and served.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
401,Amazing Spanish Mackeral special appetizer and perfect box sushi (that eel with avodcao -- um um um).,FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
402,"As usual the omikase didn't disappoint in freshness, although it scored low on creativity and selection.",FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
403,"Their specialty rolls are impressive, though I can't remember what we had.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
404,Great selection of sakes.,DRINKS#STYLE_OPTIONS,0,0,0,1,0,0,0,0,0,0,0,0
405,Green tea creme brulee gets better each time I have it.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
